our_string	ourW	ourW_md	ourW_data	their_string	theirW	binding	comparison_res_rel	our_half_ulp_rel	their_file
37.4819713608428817387593623904468580248697488408325728217061311779766385913905	78	25	78	37.4819713608428817387593623904468580248697488408325728217061311779766385913905426802842696260522510376005474554176664760312347805473536765790174362541	150	OURS	5.0e-78	5.0e-78	data/results/m3_L171_Dstar_newton_refine_output.txt
4.14818457993253249597741047202845430889207042561536883024504736042645118651156774	81	0	81	4.14818457993253249597741047202845430889207042561536883024504736042645118651156774038010912092306593272407477056931925304607636489137999960106986437164e-119	150	OURS	5.0e-81	5.0e-81	data/results/m3_L171_Dstar_newton_refine_output.txt
1.0000000000000002	17	13	17	1.0000000000000000000000000000000000000000000000000005682e-35	56	OURS	5.0e-17	5.0e-17	data/six_row_H.json
1.82169606617962481267e-20	21	21	21	1.82169606617962481267473895141908199886051667393512650001953e-20	60	OURS	5.0e-21	5.0e-21	data/results/m3_L171_a5_runB_output.txt
0.110553498702	12	12	0	0.11055349870219315089325817780263605527579784393311	50	OURS	5.0e-12	5.0e-12	data/T2g_kappa5_coefficients.json
0.125279486268	12	12	0	0.12527948626827226097368850332713918760418891906738	50	OURS	5.0e-12	5.0e-12	data/T2g_kappa5_coefficients.json
0.155215352263	12	12	0	0.15521535226326871326207879064895678311586380004883	50	OURS	5.0e-12	5.0e-12	data/T2g_kappa5_coefficients.json
18.4065081245	12	12	0	18.406508124539431893134894583903439494039109538267	50	OURS	5.0e-12	5.0e-12	data/T2h_certified_identity_gated.json
0.309486352994	12	12	0	0.30948635299417570571897022920314004765527498160525	50	OURS	5.0e-12	5.0e-12	data/T2g_kappa5_coefficients.json
0.500000000000	12	0	12	0.50000000000000000000000000000000000000000000387543	50	OURS	5.0e-12	5.0e-12	data/heat72_birth_locus.results.json
0.0807503944825	12	12	0	0.080750394482516807403982284085941500961780548095703	50	OURS	5.0e-12	5.0e-12	data/T2g_kappa5_coefficients.json
11.723753017863	14	0	14	11.723753017862903689415038584088693846051273926583	50	OURS	5.0e-14	5.0e-14	data/code/machine1_verify_da0a601_refline.py
11.871268384583	14	0	14	11.871268384582677637145601316931858550403040280795	50	OURS	5.0e-14	5.0e-14	data/code/machine1_verify_da0a601_refline.py
0.0073507376961616	14	14	0	0.0073507376961615879782070402738387217990728295689521	50	OURS	5.0e-14	5.0e-14	data/T2g_kappa5_coefficients.json
11.7726082826645	15	0	15	11.772608282664499120015155759102741014940700200202	50	OURS	5.0e-15	5.0e-15	data/code/machine1_verify_da0a601_refline.py
0.0188492488630701	15	15	0	0.018849248863070093562566142963987658731639385223389	50	OURS	5.0e-15	5.0e-15	data/T2g_kappa5_coefficients.json
11.72121119836262	16	0	16	11.721211198362615772161831676200842501159644245185	50	OURS	5.0e-16	5.0e-16	data/code/machine1_verify_da0a601_refline.py
11.74174199932051	16	12	16	11.741741999320506077395015004340247635604903612794	50	OURS	5.0e-16	5.0e-16	data/code/machine1_verify_da0a601_refline.py
11.94916458731336	16	12	16	11.949164587313356080367302870954058408133747045072	50	OURS	5.0e-16	5.0e-16	data/code/machine1_verify_da0a601_refline.py
12.11803995561295	16	12	16	12.118039955612947899352622055231949027990538573358	50	OURS	5.0e-16	5.0e-16	data/code/machine1_verify_da0a601_refline.py
12.44240174080085	16	12	16	12.442401740800849878445984564581301380155797097101	50	OURS	5.0e-16	5.0e-16	data/code/machine1_verify_da0a601_refline.py
0.9999999999999999	16	0	16	0.99999999999997484336150747005395595753764458285093	50	OURS	5.0e-16	5.0e-16	data/results/m3_L170_G00_and_a_output.txt
11.82424214138349	16	0	16	11.82424214138348878999201746907139828440909955115	49	OURS	5.0e-16	5.0e-16	data/code/machine1_verify_da0a601_refline.py
71732.908558610053	17	17	0	71732.90855861005319221508830177092217039044065668	49	OURS	5.0e-17	5.0e-17	data/T2g_kappa5_coefficients.json
1.0094925493768e-5	14	0	14	0.0000100949254937675637089112561732733154144012134	45	OURS	5.0e-14	5.0e-14	data/code/letter152_qdpt_result.json
