key	n_carriers	n_carriers_declaring_dps	working_precision_at_publication	guard_digits	knob_status	accuracy_at_publication	accuracy_status	example_carrier
372060175455	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_scan_results.json
3730124527	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle26_bandlaw.json
373170982904	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle23_selfconsistent.json
373339047740	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle19_nb_results.json
3736363971	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle26_bandlaw.json
374165298037	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle24_widthlaw.json
374589221106	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_scan_results.json
374699618854	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_scan_results.json
374707439673	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_scan_results.json
374819713608	22	13	60,70,80,90,100,110,120,125,130,150,175,200,400	25,30	RANGE	-	UNMEASURED	data/code/m2_c37_fprime.py
374886811088	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle24_widthlaw.json
375100284637	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle23_selfconsistent.json
375122313602	2	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle15_fold_results2.json
375432877822	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_scan_results.json
375433380631	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle29_s3_scored.json
375482149894	2	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_ext_results.json
375628233807	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_scan_results.json
375824028116	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle24_widthlaw.json
375861781587	4	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/m2_c37_published_constants_census.tsv
375861781588	11	1	40	-	POINT	-	UNMEASURED	data/code/m2_c25_prereg.py
375890583160	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_scan_results.json
375972667208	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle20_slide_K1_zeta_T45.666_e0.3_T600.json
376071841942	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_scan_results.json
376072180156	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_scan_results.json
376184825637	1	1	40	-	POINT	-	UNMEASURED	data/machine2_cycle28_cover_all.json
376280216299	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle25_design_scan_k0_4.json
376335585772	3	1	60	-	POINT	-	UNMEASURED	data/m2_c37_published_constants_census.tsv
376335585773	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle15_fold_results3.json
3763355858	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle15_stage3.out
376383266230	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle19_nb_results.json
376421512192	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_scan_results.json
376570354526	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_scan_results.json
376719493537	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle25_design_scan_k0_4.json
376797144841	2	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_zeros_verified.json
3768540772	1	1	60	-	POINT	-	UNMEASURED	data/machine2_debate_epseff_check.out
376855439463	1	1	90,110,125	25,30	RANGE	-	UNMEASURED	data/machine2_c34_refit.json
376855439464	1	1	90	25	POINT	-	UNMEASURED	data/machine2_c34_refit_batch1.out
377048655087	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_scan_results.json
377326490879	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle29_s3_scored.json
3773264909	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle29_s3_scored.out
377371158562	1	1	40	-	POINT	-	UNMEASURED	data/machine2_cycle28_cover_all.json
377392694374	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle25_design_scan_k2_4.json
377415674147	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle19_nb_results.json
377767434181	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle23_shifts.json
377780098857	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle19_nb_results.json
377997318613	6	2	20,30,60	-	RANGE	-	UNMEASURED	data/m2_c37_published_constants_census.tsv
377997318614	6	3	20,30,60	-	RANGE	-	UNMEASURED	data/code/machine2_cycle17_epscheck.py
378156573534	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_scan_results.json
378434283664	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle23_selfconsistent.json
378726722225	1	1	90	25	POINT	-	UNMEASURED	data/machine2_c35_signgroup.json
378753193378	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_scan_results.json
378927047567	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle24_widthlaw.json
379207816051	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle19_nb_results.json
379322778681	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_scan_results.json
379636794618	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle25_design_scan_k2_4.json
37971406225	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle20_mainW2.json
379730378036	1	1	50	-	POINT	-	UNMEASURED	data/machine2_dn_dps50_n30.json
379912352090	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle19_nb_results.json
37991535543	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle23_selfconsistent.json
38018521076	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle25_scored.json
380238593319	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle25_design_scan_k0_4.json
380918484043	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle26_boundary.json
381026578639	2	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle16_zeros_verified.json
381284823635	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle20_mainW2.json
381568828249	1	0	-	-	UNRESOLVED-BY-KNOB (carried only by artefacts that declare no dps)	-	UNMEASURED	data/machine2_cycle24_widthlaw.json
