n	gamma_n	connes_x13_PUBLISHED_UPPERBOUND	ratio_ours_over_published	beast_x3_COMPUTED	beast_x5_COMPUTED	beast_x7_COMPUTED	beast_x9_COMPUTED	beast_x11_COMPUTED	beast_x13_COMPUTED	beast_x15_COMPUTED	beast_x17_COMPUTED	beast_x19_COMPUTED	beast_x23_COMPUTED	idxoff_x3	idxoff_x5	idxoff_x7	idxoff_x9	idxoff_x11	idxoff_x13	idxoff_x15	idxoff_x17	idxoff_x19	idxoff_x23
22	82.910380854086030183164837494770609497508880	3.52722e-22	1.00000011	0.1501596	1.0366287	0.26103302	4.2615828e-6	1.4701769e-13	3.5272204e-22	1.7570742e-31	6.1011692e-41	2.7119655e-50	3.9006597e-65	-8	-3	0	0	0	0	0	0	0	0
23	84.735492980517050105735311206827741417106627	3.03977e-21	0.999998651	1.6749525	0.78848343	0.61137677	2.0370374e-5	1.0186799e-12	3.0397659e-21	1.7564994e-30	6.8072844e-40	3.3040448e-49	5.5956741e-64	-9	-4	0	0	0	0	0	0	0	0
24	87.425274613125229406531667850919213252171886	5.66201e-20	1.00000005	0.66694122	0.45121898	0.79020224	0.00015190186	1.3572708e-11	5.6620103e-20	4.1040378e-29	1.8801753e-38	1.0432402e-47	2.2657987e-62	-9	-4	0	0	0	0	0	0	0	0
25	88.809111207634465423682348079509378395444893	1.41755e-19	1.0000019	0.71689537	0.93261762	0.59363436	0.00023198682	2.8414361e-11	1.4175527e-19	1.1589418e-28	5.8015606e-38	3.45528e-47	8.5611694e-62	-10	-5	-1	0	0	0	0	0	0	0
26	92.491899270558484296259725241810684878721794	2.19821e-18	0.999998681	1.7916571	0.54352924	0.65273361	0.00088144247	2.6751702e-10	2.1982071e-18	2.5080854e-27	1.6034243e-36	1.160668e-45	4.1356466e-60	-10	-5	-1	0	0	0	0	0	0	0
27	94.651344040519886966597925815208153937728027	6.31599e-17	1.00000013	0.36778766	0.46743794	0.54768347	0.010382664	5.6434078e-9	6.3159908e-17	8.8412835e-26	6.5632152e-35	5.3510154e-44	2.3801644e-58	-11	-5	-1	0	0	0	0	0	0	0
28	95.870634228245309758741029219246781695256461	1.42037e-16	0.999996902	1.5870779	0.75185225	0.24914244	0.014037827	1.0599282e-8	1.4203656e-16	2.238403e-25	1.811564e-34	1.5819818e-43	7.9990644e-58	-12	-6	-1	0	0	0	0	0	0	0
29	98.831194218193692233324420138622327820658039	4.34328e-16	1.00000104	0.87247048	0.24423642	0.56730639	0.010849256	2.0556103e-8	4.3432845e-16	9.21353e-25	9.2535173e-34	9.5916982e-43	6.6803548e-57	-12	-6	-1	0	0	0	0	0	0	0
30	101.31785100573139122878544794029230890633286	4.47113e-15	1.00000103	1.6141863	1.4030359	0.97608609	0.031067442	1.4135663e-7	4.4711346e-15	1.2305349e-23	1.4918735e-32	1.7951157e-41	1.6525974e-55	-13	-6	-1	0	0	0	0	0	0	0
31	103.72553804047833941639840810869528083448117	7.01522e-14	1.0000001	1.415833	1.0046511	1.3338825	0.12478721	1.471183e-6	7.0152207e-14	2.5085863e-22	3.6721116e-31	5.1285041e-40	6.2414878e-54	-13	-7	-1	0	0	0	0	0	0	0
32	105.44662305232609449367083241411180899728275	3.81989e-13	0.999999607	0.30525203	0.67609834	0.38720249	0.28635408	5.8971474e-6	3.8198885e-13	1.6572063e-21	2.7863395e-30	4.3410874e-39	6.4857063e-53	-14	-7	-2	0	0	0	0	0	0	0
33	107.16861118427640751512335196308619121347670	5.99581e-13	0.999999466	2.0272402	1.0458898	0.17952122	0.17895598	6.7345333e-6	5.9958068e-13	3.1728607e-21	6.1479583e-30	1.0711615e-38	1.9741233e-52	-15	-8	-2	0	0	0	0	0	0	0
34	111.02953554316967452465645030994435041534596	4.26414e-11	0.999999531	0.28349544	0.085790765	0.46306711	0.3147546	0.0002239689	4.264138e-11	3.5944519e-19	9.691757e-28	2.1892396e-36	6.5747691e-50	-15	-8	-2	0	0	0	0	0	0	0
35	111.87465917699263708561207871677059496031174	1.10653e-10	1.00000027	0.56162819	0.9309144	0.38205653	0.53036903	0.00048788934	1.1065303e-10	1.0368398e-18	3.0123154e-27	7.2145313e-36	2.4191766e-49	-16	-9	-3	-1	0	0	0	0	0	0
36	114.32022091545271276589093727619107980991765	1.95651e-10	0.999999744	2.1128814	0.23463268	0.41130332	0.54407986	0.00050749308	1.9565095e-10	2.5106372e-18	9.0969498e-27	2.5898452e-35	1.203065e-48	-16	-9	-3	-1	0	0	0	0	0	0
37	116.22668032085755438216080431206475512732985	5.20728e-10	0.999999731	0.20642195	1.3712671	1.3430539	0.39018337	0.00087117198	5.2072786e-10	8.6143532e-18	3.7268603e-26	1.2185406e-34	1.9064594	-17	-9	-3	-1	0	0	0	0	0	-1
38	118.79078286597621732297913970269982434730621	2.05031e-9	0.999999756	2.3576806	1.1928355	1.2210486	0.22048839	0.0018204379	2.0503095e-9	4.8353857e-17	2.674935e-25	1.0590852e-33	9.1778311e-47	-18	-10	-4	-1	0	0	0	0	0	-1
39	121.37012500242064591894553297049992272300131	3.42274e-8	0.999998539	0.96101425	0.29174515	0.75032169	0.072318422	0.01501702	3.422735e-8	1.1717579e-15	8.3741862e-24	4.0445159e-32	5.1085306e-45	-18	-10	-4	-1	0	0	0	0	0	-1
40	122.94682929355258820081746033077001649621438	2.10931e-7	1.00000095	0.61569005	1.2849591	0.42328242	0.51695238	0.06073836	2.109312e-7	9.1451281e-15	7.6778917e-23	4.2003806e-31	6.7221363e-44	-19	-11	-4	-1	0	0	0	0	0	-1
41	124.25681855434576718473200796612992444157353	2.23714e-7	0.999999374	1.9256793	0.43362009	0.88670684	0.79303688	0.046767168	2.2371386e-7	1.1862987e-14	1.141634e-22	6.9397945e-31	1.3570933e-43	-20	-11	-5	-2	0	0	0	0	0	-1
42	127.51668387959649512427932376690607626808830	5.95608e-7	0.999999614	0.67272824	1.5976004	0.56788	0.71723259	0.039619833	5.9560777e-7	5.3263729e-14	7.2784968e-22	5.7946108e-30	1.8948546e-42	-20	-11	-5	-2	0	0	0	0	0	-1
43	129.57870419995605098576803390617997360864095	5.77737e-6	0.999999706	1.3892921	0.46441988	0.17612214	1.1096222	0.17655004	5.7773683e-6	7.3148985e-13	1.2583211e-20	1.194968e-28	5.4732874e-41	-21	-12	-5	-2	0	0	0	0	0	-1
44	131.08768853093265672356637246150134905920354	0.000141389	0.100000014	2.2725705	1.810818	1.3328622	0.39936217	0.2984537	1.4138902e-5	2.3301118e-12	4.7642208e-20	5.1623939e-28	3.0439366e-40	-21	-12	-6	-3	0	0	0	0	0	-1
45	133.49773720299758645013049204264060766497417	0.000556111	0.0999999479	0.13747821	0.59923063	0.83724854	0.29258142	0.41160609	5.5611071e-5	1.4209088e-11	3.8586208e-19	5.1886581e-27	4.6296981e-39	-22	-13	-6	-3	0	0	0	0	0	-1
46	134.75650975337387133132606415716973617839606	0.000720794	0.0999999556	1.3962508	1.5895961	0.18329546	0.96619113	0.59444154	7.2079368e-5	2.3370938e-11	7.3900447e-19	1.1152563e-26	1.2422865e-38	-23	-13	-6	-4	0	0	0	0	0	-1
47	138.11604205453344320019155519028244785983527	0.000314865	1.00000048	1.4066724	1.7699362	0.81116992	0.66764803	0.28675686	0.00031486515	1.9990578e-10	9.6238026e-18	1.9940619e-25	4.0934567e-37	-23	-14	-6	-3	0	0	0	0	0	-1
48	139.73620895212138895045004652338246084679005	0.0209081	0.100000019	0.2134945	0.40614789	0.80899698	0.95251887	0.78566089	0.0020908104	1.8725001e-9	1.1125537e-16	2.6991073e-24	7.5186656e-36	-24	-14	-7	-4	0	0	0	0	0	-1
49	141.12370740402112376194035381847535509030066	0.00313565	1.0000015	1.6009929	0.98135056	0.5854986	0.0052246796	0.60183756	0.0031356547	3.8060497e-9	2.7192431e-16	7.5709439e-24	2.7545228e-35	-25	-15	-7	-4	-1	0	0	0	0	-1
50	143.11184580762063273940512386891392996623310	0.00212727	1.0000015	1.8698368	0.73869372	1.4026398	0.46533549	0.24286936	0.0021272732	4.1016645e-9	3.8434867e-16	1.309164e-23	7.0492758e-35	-25	-15	-8	-4	-1	0	0	0	0	-1
