file	fails_raw	fails_discriminating	discriminating_paths
data/c45/c45_x4p953032424395115_N100_dps150_g9_it16.json	1	0	
data/c45/c45_x4p953032424395115_N140_dps150_g9_it16.json	1	0	
data/c46/c46_block_even_x13_N100_dps150_g9_it16_k3.json	1	0	
data/c46/c46_block_odd_x13_N100_dps150_g9_it16_k3.json	1	0	
data/c46/c46_even_x13_N100_dps150_g9_it16.json	1	0	
data/c46/c46_even_x13_N140_dps150_g9_it16.json	1	0	
data/c46/c46_even_x13_N180_dps150_g9_it16.json	1	0	
data/c46/c46_even_x13_N220_dps150_g9_it16.json	1	0	
data/c46/c46_even_x13_N60_dps150_g9_it16.json	1	0	
data/c46/c46_even_x19_N100_dps300_g9_it16.json	1	0	
data/c46/c46_even_x4p953032424395115_N100_dps150_g9_it16.json	1	0	
data/c46/c46_even_x5_N100_dps150_g9_it16.json	1	0	
data/c46/c46_odd_x13_N100_dps150_g9_it16.json	1	0	
data/c46/c46_odd_x13_N100_dps220_g9_it16.json	1	0	
data/c46/c46_odd_x13_N140_dps150_g9_it16.json	1	0	
data/c46/c46_odd_x13_N180_dps150_g9_it16.json	1	0	
data/c46/c46_odd_x13_N220_dps150_g9_it16.json	1	0	
data/c46/c46_odd_x13_N60_dps150_g9_it16.json	1	0	
data/c46/c46_odd_x19_N100_dps300_g9_it16.json	1	0	
data/c46/c46_odd_x4p953032424395115_N100_dps150_g9_it16.json	1	0	
data/c46/c46_odd_x5_N100_dps150_g9_it16.json	1	0	
data/m2_L179/cell_A.json	1	0	
data/m2_L179/cell_B.json	1	0	
data/m2_L179/cell_C.json	1	0	
data/m2_L179/cell_D.json	1	0	
data/m2_L179/cell_E.json	1	0	
data/m2_L179/cell_F.json	1	0	
data/m2_L179/cell_G.json	1	0	
data/m2_L179/cell_H.json	1	0	
data/m2_L179/cell_I.json	1	0	
data/m2_L179/cell_J.json	1	0	
data/m2_L179/cell_K.json	1	0	
data/m2_L179/cell_M.json	1	0	
data/m2_L179/cell_N.json	1	0	
data/m2_L179/cell_P.json	1	0	
data/m2_L179/cell_Q.json	1	0	
data/m2_L179/cell_R.json	1	0	
data/m2_L179/cell_S.json	1	0	
data/m2_L179/cell_T.json	1	0	
data/m2_L179/cell_U.json	1	0	
data/machine2_cycle27_anchorblind_c1.json	1	0	
data/machine2_cycle27_anchorblind_c2.json	1	0	
data/machine2_cycle27_anchorblind_clean.json	1	0	
data/machine2_cycle27_firesflip_c1.json	1	0	
data/machine2_cycle27_firesflip_clean.json	1	0	
data/machine2_dn_dps50_n30.json	1	0	
